,source,mutation_method,num_iterations,depth,num_neighbors,best_state,best_score
0,1,shuffle,10,1,1,"[1, 0, 2, 3, 4]",104.1531744
1,1,shuffle,10,1,2,"[1, 0, 2, 3, 4]",104.1531744
2,1,shuffle,10,1,3,"[1, 0, 2, 3, 4]",104.1531744
3,1,shuffle,10,1,4,"[1, 0, 2, 3, 4]",104.1531744
4,1,shuffle,10,2,1,"[1, 0, 2, 3, 4]",104.1531744
5,1,shuffle,10,2,2,"[1, 0, 2, 3, 4]",104.1531744
6,1,shuffle,10,2,3,"[1, 0, 2, 3, 4]",104.1531744
7,1,shuffle,10,2,4,"[1, 0, 2, 3, 4]",104.1531744
8,1,shuffle,10,3,1,"[1, 0, 2, 3, 4]",104.1531744
9,1,shuffle,10,3,2,"[1, 0, 2, 3, 4]",104.1531744
10,1,shuffle,10,3,3,"[1, 0, 2, 3, 4]",104.1531744
11,1,shuffle,10,3,4,"[1, 0, 2, 3, 4]",104.1531744
12,1,shuffle,50,1,1,"[1, 0, 2, 3, 4]",104.1531744
13,1,shuffle,50,1,2,"[1, 0, 2, 3, 4]",104.1531744
14,1,shuffle,50,1,3,"[1, 0, 2, 3, 4]",104.1531744
15,1,shuffle,50,1,4,"[1, 0, 2, 3, 4]",104.1531744
16,1,shuffle,50,2,1,"[1, 0, 2, 3, 4]",104.1531744
17,1,shuffle,50,2,2,"[1, 0, 2, 3, 4]",104.1531744
18,1,shuffle,50,2,3,"[1, 0, 2, 3, 4]",104.1531744
19,1,shuffle,50,2,4,"[1, 0, 2, 3, 4]",104.1531744
20,1,shuffle,50,3,1,"[1, 0, 2, 3, 4]",104.1531744
21,1,shuffle,50,3,2,"[1, 0, 2, 3, 4]",104.1531744
22,1,shuffle,50,3,3,"[1, 0, 2, 3, 4]",104.1531744
23,1,shuffle,50,3,4,"[1, 0, 2, 3, 4]",104.1531744
24,1,shuffle,100,1,1,"[1, 0, 2, 3, 4]",104.1531744
25,1,shuffle,100,1,2,"[1, 0, 2, 3, 4]",104.1531744
26,1,shuffle,100,1,3,"[1, 0, 2, 3, 4]",104.1531744
27,1,shuffle,100,1,4,"[1, 0, 2, 3, 4]",104.1531744
28,1,shuffle,100,2,1,"[1, 0, 2, 3, 4]",104.1531744
29,1,shuffle,100,2,2,"[1, 0, 2, 3, 4]",104.1531744
30,1,shuffle,100,2,3,"[1, 0, 2, 3, 4]",104.1531744
31,1,shuffle,100,2,4,"[1, 0, 2, 3, 4]",104.1531744
32,1,shuffle,100,3,1,"[1, 0, 2, 3, 4]",104.1531744
33,1,shuffle,100,3,2,"[1, 0, 2, 3, 4]",104.1531744
34,1,shuffle,100,3,3,"[1, 0, 2, 3, 4]",104.1531744
35,1,shuffle,100,3,4,"[1, 0, 2, 3, 4]",104.1531744
36,1,shuffle,200,1,1,"[1, 0, 2, 3, 4]",104.1531744
37,1,shuffle,200,1,2,"[1, 0, 2, 3, 4]",104.1531744
38,1,shuffle,200,1,3,"[1, 0, 2, 3, 4]",104.1531744
39,1,shuffle,200,1,4,"[1, 0, 2, 3, 4]",104.1531744
40,1,shuffle,200,2,1,"[1, 0, 2, 3, 4]",104.1531744
41,1,shuffle,200,2,2,"[1, 0, 2, 3, 4]",104.1531744
42,1,shuffle,200,2,3,"[1, 0, 2, 3, 4]",104.1531744
43,1,shuffle,200,2,4,"[1, 0, 2, 3, 4]",104.1531744
44,1,shuffle,200,3,1,"[1, 0, 2, 3, 4]",104.1531744
45,1,shuffle,200,3,2,"[1, 0, 2, 3, 4]",104.1531744
46,1,shuffle,200,3,3,"[1, 0, 2, 3, 4]",104.1531744
47,1,shuffle,200,3,4,"[1, 0, 2, 3, 4]",104.1531744
48,1,shuffle,500,1,1,"[1, 0, 2, 3, 4]",104.1531744
49,1,shuffle,500,1,2,"[1, 0, 2, 3, 4]",104.1531744
50,1,shuffle,500,1,3,"[1, 0, 2, 3, 4]",104.1531744
51,1,shuffle,500,1,4,"[1, 0, 2, 3, 4]",104.1531744
52,1,shuffle,500,2,1,"[1, 0, 2, 3, 4]",104.1531744
53,1,shuffle,500,2,2,"[1, 0, 2, 3, 4]",104.1531744
54,1,shuffle,500,2,3,"[1, 0, 2, 3, 4]",104.1531744
55,1,shuffle,500,2,4,"[1, 0, 2, 3, 4]",104.1531744
56,1,shuffle,500,3,1,"[1, 0, 2, 3, 4]",104.1531744
57,1,shuffle,500,3,2,"[1, 0, 2, 3, 4]",104.1531744
58,1,shuffle,500,3,3,"[1, 0, 2, 3, 4]",104.1531744
59,1,shuffle,500,3,4,"[1, 0, 2, 3, 4]",104.1531744
60,1,shuffle,1000,1,1,"[1, 0, 2, 3, 4]",104.1531744
61,1,shuffle,1000,1,2,"[1, 0, 2, 3, 4]",104.1531744
62,1,shuffle,1000,1,3,"[1, 0, 2, 3, 4]",104.1531744
63,1,shuffle,1000,1,4,"[1, 0, 2, 3, 4]",104.1531744
64,1,shuffle,1000,2,1,"[1, 0, 2, 3, 4]",104.1531744
65,1,shuffle,1000,2,2,"[1, 0, 2, 3, 4]",104.1531744
66,1,shuffle,1000,2,3,"[1, 0, 2, 3, 4]",104.1531744
67,1,shuffle,1000,2,4,"[1, 0, 2, 3, 4]",104.1531744
68,1,shuffle,1000,3,1,"[1, 0, 2, 3, 4]",104.1531744
69,1,shuffle,1000,3,2,"[1, 0, 2, 3, 4]",104.1531744
70,1,shuffle,1000,3,3,"[1, 0, 2, 3, 4]",104.1531744
71,1,shuffle,1000,3,4,"[1, 0, 2, 3, 4]",104.1531744
72,1,swap,10,1,1,"[1, 3, 0, 2, 4]",104.133282
73,1,swap,10,1,2,"[1, 3, 0, 2, 4]",104.133282
74,1,swap,10,1,3,"[1, 3, 0, 2, 4]",104.133282
75,1,swap,10,1,4,"[1, 3, 0, 2, 4]",104.133282
76,1,swap,10,2,1,"[1, 0, 2, 3, 4]",104.1531744
77,1,swap,10,2,2,"[1, 0, 2, 3, 4]",104.1531744
78,1,swap,10,2,3,"[1, 0, 2, 3, 4]",104.1531744
79,1,swap,10,2,4,"[1, 0, 2, 3, 4]",104.1531744
80,1,swap,10,3,1,"[1, 0, 2, 3, 4]",104.1531744
81,1,swap,10,3,2,"[1, 0, 2, 3, 4]",104.1531744
82,1,swap,10,3,3,"[1, 0, 2, 3, 4]",104.1531744
83,1,swap,10,3,4,"[1, 0, 2, 3, 4]",104.1531744
84,1,swap,50,1,1,"[1, 3, 0, 2, 4]",104.133282
85,1,swap,50,1,2,"[1, 3, 0, 2, 4]",104.133282
86,1,swap,50,1,3,"[1, 3, 0, 2, 4]",104.133282
87,1,swap,50,1,4,"[1, 3, 0, 2, 4]",104.133282
88,1,swap,50,2,1,"[1, 0, 2, 3, 4]",104.1531744
